round,train_loss,centralized_hit@10,centralized_loss,centralized_mr,centralized_mrr
0,,0.0,0.681015938803917,42534.907117542825,0.0012174363596045513
1,4.130358263209163,0.0016243354991139988,0.6718022595150424,41117.205256940346,0.0025496063712532446
2,4.099928870573378,0.025915534554046073,0.6630164511988986,39810.32383343178,0.017109516185716416
3,4.069490044439854,0.04799173065564087,0.6540621178378905,38306.55766391022,0.02151709434893682
4,4.039647599914734,0.08712344949793266,0.6449705523490556,36686.10447430597,0.02692401765752439
5,4.008747966674445,0.0874926166568222,0.6348388692380357,35052.57309509746,0.0271778022415274
6,3.9718062702353816,0.08926461901949202,0.6227503570315517,33027.668857058474,0.02796577148046733
7,3.9282637290918307,0.08911695215593621,0.6080652990125172,31117.577451269935,0.03506573789500887
8,3.873349562144853,0.08941228588304784,0.58999561890219,29277.794669226227,0.035619986990521546
9,3.8077909311043494,0.08955995274660367,0.568046443829995,27648.772962197283,0.03444334252794303
10,3.727534020466268,0.09059362079149438,0.5417944857243903,25980.464633786178,0.03607213061925589
11,3.630417240839044,0.09111045481393976,0.5112526517138988,24502.438275251032,0.03793035631234649
12,3.5224011608814094,0.09738629651506202,0.4770836004098907,23363.708431777908,0.041761484967609
13,3.403995261950709,0.09782929710572948,0.44052140275908497,22410.795038393386,0.04192168415126736
14,3.2836057305675554,0.09819846426461902,0.4033816961371404,21595.317926757234,0.042296372860528696
15,3.1681485921604797,0.09849379799173065,0.3680263984201913,20901.320806261076,0.04231514748062651
16,3.069322932439084,0.09369462492616656,0.33630552217172394,20228.115623154164,0.030951105064427335
17,2.9809490917788417,0.09775546367395156,0.309396614902358,19571.146042528057,0.03151395904997057
18,2.9155753353349416,0.09494979326639102,0.2872681588835817,18887.46227111636,0.030888161109508403
19,2.866508158306938,0.10056113408151211,0.2692645757647747,18243.958579444774,0.029685350815990063
20,2.8281280519301406,0.11392498523331364,0.2544350187953522,17661.385115180154,0.05553101743156874
21,2.801239689407323,0.11577082102776137,0.24219083413168527,17137.819624926167,0.0725054843485395
22,2.7821548043713897,0.10919964559952747,0.23185766941728989,16682.405493207323,0.07230033256722157
