round,train_loss,centralized_hit@10,centralized_loss,centralized_mr,centralized_mrr
0,,0.02310986414648553,1.7569664027800713,45921.630759007676,0.023603667912785804
1,15.957786992645264,0.22031896042528057,0.4202204128492156,21666.130094506792,0.1465277839405804
2,8.983516597366332,0.36045481393975193,0.23838621258268872,14096.348715298287,0.23338079707921286
3,5.881497058582306,0.4126550502067336,0.16400883569502178,10510.811577082102,0.25146773843154924
4,4.224142570018769,0.4576196101594802,0.1327977484443282,8335.333357944477,0.2705102210140448
5,3.4082200954437254,0.48006497341996457,0.11535739820293346,6876.287212049616,0.29086991121251315
6,3.165563078045845,0.4646337861783816,0.11023569692629676,6121.500073833432,0.2904617101077055
7,2.549915247607231,0.47718546958062613,0.09000440602639494,4787.496308328411,0.2982548343101378
8,2.2162034171819687,0.48907265209686945,0.0953247767129132,4501.570953927939,0.3063037099755981
9,1.9920418510437012,0.5000738334317779,0.0711586797990946,3240.03529238039,0.3196817582943056
10,1.8372743849277495,0.4912138216184288,0.06479552048620371,2909.9692114589484,0.29534982277694183
11,1.7272445114135742,0.5057590076786769,0.06339361592660209,2688.621603662138,0.31475704483956046
12,1.5900258177518845,0.5036916715888955,0.06642512827739314,2767.6165091553457,0.3167396760782747
13,1.523499377632141,0.49970466627288834,0.05453999023690731,2209.7815268753693,0.3139333718095801
14,1.426340743982792,0.5084170112226817,0.05487464001696618,2151.274586532782,0.313880497036771
15,1.3955130688548087,0.49867099822799765,0.05073603302035504,1823.5983461311282,0.309212679232503
16,1.2715541777729988,0.5162433549911399,0.0528668088946046,1975.0178676904902,0.32232773782953084
17,1.2501040391206741,0.511370348493798,0.05559605591635759,2137.6882014176017,0.3334852710563795
18,1.240176531648636,0.49948316597755466,0.052968733321292705,2020.0339633786177,0.3120844013269782
19,1.2315333613753319,0.5173508564678087,0.055500389281024715,1852.9099970466627,0.31329665144702423
20,1.191756251144409,0.5168340224453633,0.05157526725192256,1663.2855138806851,0.33181725376825527
21,1.1346180782139301,0.5087861783815711,0.05329258289709016,1662.4161990549321,0.3193327025209783
22,1.1258400606393815,0.5238481984642647,0.05566070962757723,1471.0462935617247,0.3300399173292869
23,1.1275441801071167,0.5098936798582399,0.054784790366245846,1426.8579444772593,0.31591280782549364
24,1.1082957006931304,0.506497341996456,0.0616770600502076,1455.123301831069,0.3196782132049745
25,1.0687498303174972,0.5155788541051388,0.05924585021842449,1363.3300354400471,0.32624345031370716
26,1.055841829228401,0.5197135262847017,0.06336301974910184,1478.988408151211,0.31953185528611644
27,1.0484613471508026,0.5161695215593621,0.0655142886877827,1446.8609716479623,0.3205467483714307
28,1.0266044191896915,0.5022150029533373,0.07184804871562403,1318.0818812758416,0.3073428167412062
29,1.0332625515699387,0.5222976963969286,0.07382989722277897,1481.3323981098642,0.3177521249019601
30,1.0165592524409295,0.522666863555818,0.0731363328420417,1363.3564678086238,0.3229452862990011
