round,train_loss,centralized_hit@10,centralized_loss,centralized_mr,centralized_mrr
0,,0.0008121677495569994,0.7057541341460933,49223.39124335499,0.0009142014421241902
1,0.4127719704568386,0.3043414057885411,0.2976515513380052,5290.230138806852,0.1843324803694559
2,0.08256119943857193,0.37212049616066156,1.2016850991731354,2460.4775546367396,0.22345101981449814
3,0.03567974379360676,0.4122858830478441,1.692605362716128,1646.8507826343769,0.22453234530245467
4,0.026420038165897133,0.4043118724158299,2.132083416350032,1291.241656822209,0.2446445716935732
5,0.02521060943081975,0.4194477259303012,2.613165588118057,1164.7375959834612,0.23272637919167655
6,0.02407160199396312,0.4500147666863556,3.2618131806027875,1086.2419521559361,0.2509475121743589
7,0.01992091140076518,0.4427052569403426,4.32096041963018,1031.9070437093917,0.2582010886299006
8,0.019166531793400644,0.4630832841110455,5.260132179932632,1059.3578706438275,0.26644961332175143
9,0.018297618894279003,0.4647076196101595,5.287077483576833,915.1505463673951,0.2635873186395729
10,0.016536502604186536,0.4761518015357354,5.775555189444561,954.0055375073833,0.27528822722730156
11,0.01684679441493936,0.47917897223862965,6.046561680912742,926.9397519196692,0.2662214465378391
12,0.0174339170797728,0.47836680448907265,6.506286585743689,878.2990992321323,0.26506093480567516
13,0.01616365379546769,0.47201712935617246,6.624251492017476,988.684509746013,0.26912501052284754
14,0.01582006428344175,0.47039279385705846,7.82584063407571,888.7791642055523,0.2810971345777674
15,0.0157395890571177,0.48870348493797994,7.696882502882328,928.4996308328411,0.28663721759152083
16,0.014466218428546562,0.49579149438865916,8.316590041323185,849.1644270525694,0.2823748654505451
17,0.013834022313496099,0.4805818074424099,8.93850246910293,920.433845245127,0.27114358512813685
18,0.015797649674862625,0.502362669816893,8.777067339677336,871.767941523922,0.2875475378025111
19,0.013891896929219365,0.4885558180744241,9.915628261619618,942.7833727111636,0.2720689758175908
20,0.0170868398652412,0.4672917897223863,9.886164990530476,850.6616213821618,0.27303375433116417
21,0.01341080898679793,0.4912876550502067,10.234901269638627,852.3040460720614,0.2691292162314961
22,0.014697057117894291,0.48242764323685766,10.035890868312348,932.6122268163024,0.2754401461177938
23,0.013260285786539316,0.48006497341996457,11.19689932482324,889.47009746013,0.2820423105588754
24,0.014597629366070033,0.4689161252215003,12.244651803793875,882.8203632604843,0.2651789033216568
25,0.013192833592463284,0.4912138216184288,12.606149141175546,992.1865770821028,0.2940476384312393
26,0.013818452243041247,0.4966774955699941,12.694793439064583,865.2121972829298,0.28468671302903453
27,0.013082772788382135,0.47829297105729474,14.302353665983576,881.1651653868872,0.26456465891858405
28,0.012911277265194804,0.4920998227997637,12.934301281526233,883.170555227407,0.2822404631891727
29,0.013059911707416176,0.4864884819846427,12.837919706243202,828.8315859421145,0.27453013033754825
30,0.013573195272684097,0.48552864737152984,14.066062427790078,911.9562167749557,0.26394574711102625
